date,theta_1,t_dew,ws,rh,wd,sw_out,t_avg,H,vp,LE,sw_in,theta_mean,es,Rn,theta_2,vpd,lw_in,G,lw_out,t_min,t_max,Rn_subday_gaps,H_subday_gaps,G_subday_gaps,LE_subday_gaps,rso,flux,energy,H_corr,DOY,ebc_cf,ebr_5day_clim,LE_corr,ebr,flux_corr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,ETrF,ETrF_filtered,ET_fill,ET_gap,ET_fill_val
2024-05-12,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,359.98556828219824,,,,133,,,,,,,,,8.200000000000001,6.1000000000000005,0.0,,,,False,
2024-05-13,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,361.01712267456395,,,,134,,,,,,,,,8.1,6.2,0.0,,,,False,
2024-05-14,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,362.0206573907594,,,,135,,,,,,,,,7.6000000000000005,5.800000000000001,0.0,,,,False,
2024-05-15,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,362.9961416357605,,,,136,,,,,,,,,6.9,5.4,1.0,,,,False,
2024-05-16,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,363.9435507485325,,,,137,,,,,,,,,9.1,6.7,0.0,,,,False,
2024-05-17,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,364.862865813624,,,,138,,,,,,,,,11.100000000000001,7.800000000000001,0.0,,,,False,
2024-05-18,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,365.75407328106866,,,,139,,,,,,,,,10.200000000000001,7.4,0.0,,,,False,
2024-05-19,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,366.6171645952892,,,,140,,,,,,,,,11.700000000000001,8.1,0.0,,,,False,
2024-05-20,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,367.4521358336318,,,,141,,,,,,,,,11.4,7.800000000000001,0.0,,,,False,
2024-05-21,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,368.25898735510225,,,,142,,,,,,,,,6.7,5.1000000000000005,0.0,,,,False,
2024-05-22,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,369.03772345980457,,,,143,,,,,,,,,10.3,7.300000000000001,0.0,,,,False,
2024-05-23,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,369.78835205952487,,,,144,,,,,,,,,10.5,7.4,0.0,,,,False,
2024-05-24,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,370.5108843598352,,,,145,,,,,,,,,9.600000000000001,6.800000000000001,0.0,,,,False,
2024-05-25,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,371.20533455402983,,,,146,,,,,,,,,9.8,6.9,0.0,,,,False,
2024-05-26,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,371.871719529142,,,,147,,,,,,,,,6.9,5.6000000000000005,0.0,,,,False,
2024-05-27,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,372.51005858423,,,,148,,,,,,,,,7.5,6.0,0.0,,,,False,
2024-05-28,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,373.12037316105886,,,,149,,,,,,,,,8.9,6.7,0.0,,,,False,
2024-05-29,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,373.70268658724683,,,,150,,,,,,,,,11.9,8.3,0.0,,,,False,
2024-05-30,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,374.25702383189133,,,,151,,,,,,,,,9.3,7.0,0.0,,,,False,
2024-05-31,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,374.7834112736371,,,,152,,,,,,,,,8.6,6.6000000000000005,0.0,,,,False,
2024-06-01,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,375.28187648109684,,,,153,,,,,,,,,12.0,8.4,0.0,,,,False,
